,danceability,energy,duration_ms,loudness,speechiness,instrumentalness,liveness,valence,tempo,acousticness
289,0.854,0.525,197587,-4.426,0.214,0.0,0.146,0.63,97.054,0.819
290,0.561,0.431,242013,-8.81,0.0578,1.42e-05,0.106,0.137,143.875,0.768
291,0.664,0.665,176970,-3.616,0.0879,0.0,0.411,0.726,173.961,0.123
292,0.657,0.591,189347,-3.505,0.0297,0.0,0.248,0.687,132.041,0.835
293,0.814,0.714,345241,-4.65,0.207,4.89e-06,0.091,0.789,176.013,0.297
294,0.762,0.701,208867,-3.541,0.0286,0.000158,0.123,0.742,110.968,0.235
295,0.826,0.593,209755,-6.401,0.0976,0.000161,0.17,0.541,98.083,0.688
296,0.736,0.632,216107,-4.939,0.0648,0.0,0.349,0.503,92.03,0.18
297,0.764,0.705,208667,-3.463,0.0284,8.92e-05,0.12,0.781,110.97,0.259
298,0.894,0.709,201597,-7.478,0.118,0.0,0.101,0.462,93.048,0.00914
299,0.915,0.72,131067,-3.126,0.0459,1.42e-05,0.0942,0.631,126.986,0.025
300,0.55,0.598,232496,-5.402,0.0831,2.58e-06,0.0955,0.543,83.836,0.132
301,0.762,0.797,174932,-2.641,0.107,0.0,0.412,0.787,81.994,0.11
302,0.525,0.505,191947,-4.199,0.032,0.0,0.101,0.79,179.968,0.538
303,0.358,0.465,250686,-7.384,0.0433,0.0,0.155,0.535,87.706,0.655
304,0.855,0.649,263899,-2.443,0.151,0.0,0.0801,0.741,161.986,0.25
305,0.833,0.858,366613,-3.283,0.0794,0.0,0.239,0.675,91.967,0.0696
306,0.773,0.8,184507,-3.17,0.0987,0.00403,0.0327,0.842,89.988,0.0613
307,0.676,0.618,221227,-8.987,0.046,0.0,0.199,0.899,173.955,0.0361
308,0.883,0.6,156430,-7.188,0.37,7.94e-06,0.0931,0.691,113.903,0.114
309,0.659,0.433,267333,-11.015,0.0362,0.000427,0.0829,0.455,125.556,0.117
310,0.602,0.398,305120,-9.503,0.104,0.0,0.703,0.603,126.285,0.807
311,0.54,0.367,237240,-14.238,0.0277,0.0,0.0433,0.252,70.276,0.0367
